hts,desc
74130090,"Copper, stranded wire, cables, plaited bands and the like, not electrically insulated, fitted with fittings or made up into articles"
74151000,"Copper, iron or steel with heads of copper, nails and tacks, drawing pins, staples and similar articles"
74152100,"Copper, washers (including spring washers)"
74152900,"Copper, rivets, cotters, cotter pins and similar non-threaded articles (other than washers)"
74153305,Copper screws for wood
74153310,Muntz or yellow metal copper bolts
74153380,"Screws (other than wood screws), bolts (other than Muntz or yellow metal) and nuts, of copper, threaded, nesoi"
74153900,"Copper, screw hooks and other threaded articles, nesoi"
74181000,"Copper and copper alloy table, kitchen, household articles and parts; pot scourers, scouring and polishing pads, gloves, etc."
74182010,"Copper-zinc base alloys (brass), sanitary ware and parts thereof"
74182050,"Copper (other than brass), sanitary ware and parts thereof"
74192000,"Copper, articles nesoi, cast, molded, stamped, or forged but not further worked"
74198003,"Copper, Fourdrinier wires, for use in papermaking machines, with 94 or more wires to the lineal cm"
74198006,"Copper cloth, other than Fourdrinier wires, nesoi"
74198009,"Copper, wire grill and netting; expanded metal of copper"
74198015,"Copper, containers of a kind normally carried on the person, in the pocket or in the handbag"
74198016,"Copper, springs"
74198017,"Copper, chain and parts thereof"
74198030,"Copper, articles nesoi, coated or plated with precious metal"
74198050,"Copper, articles nesoi, not coated or plated with precious metal 13"
