hts,desc
7615107155,"Aluminum cooking ware, nesoi, not cast, not enameled or glazed and not containing nonstick interior finishes"
7615107180,"Other aluminum kitchen ware, nesoi"
76151091,"Aluminum table, kitchen or other household articles and parts thereof, nesoi"
76152000,Aluminum sanitary ware and parts thereof
76169910,Aluminum luggage frames
7616995130,Aluminum ladders
7616995140,Aluminum venetian blinds and parts thereof
83021030,"Hinges and parts thereof, of iron or steel, aluminum or zinc, designed for motor vehicles"
83021060,"Hinges, of base metal, of iron or steel, aluminum, or other"
83022000,"Castors, of base metal"
8302303010,"Pneumatic cylinders for lifting, lowering, dampening or counterbalancing, suitable for motor vehicles, of iron or steel, aluminum or zinc and parts thereof"
8302303060,"Other mountings, fittings and similar articles suitable for motor vehicles, and parts thereof, of iron or steel, aluminum or zinc"
83024130,"Door closers (except automatic door closers) and parts thereof, of base metal, suitable for buildings"
8302416015,"Doorstops, chain door fasteners, door pulls, kick plates, door knockers and escutcheons of iron, steel, aluminum or zinc (not for garage, overhead or sliding doors)"
8302416045,"Door hardware nesoi of iron or steel, aluminum or zinc"
8302416050,"Mountings, fittings, etc. for curtains, draperies and window shades, of iron, steel, aluminum or zinc"
8302416080,"Other mountings, fittings, etc. for buildings, of iron, steel, aluminum or zinc 25"
83024230,"Mountings, fittings and similar articles, suitable for furniture, of iron or steel, aluminum, or zinc"
83024960,"Other mountings, fittings and similar articles, of iron or steel, aluminum, or zinc"
83025000,"Hat-racks, hat pegs, brackets and similar fixtures, and parts thereof, of base metal"
83026030,"Automatic door closers, of base metal"
83026090,"Parts of automatic door closers, base metal"
8305100050,"Fittings for looseleaf binders or files, of base metal, other than ring binder mechanisms"
83063000,"Photograph, picture or similar frames; mirrors; parts thereof, of base metal"
83079060,"Flexible tubing of base metal other than iron or steel, without fittings"
8309900020,"Alum stoppers, caps, lids for cans of a kind used for the conveyance of beverages as described in statistical note 1 to chapter 83 of the HTSUS"
8309900025,"Other aluminum stoppers, caps and lids nesoi (not crown corks), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories and parts"
8412909070,Wind turbine blades imported in accordance with statistical note 2 to chapter 84 of the HTSUS
8412909075,Wind turbine hubs
8414596590,"Fans, other"
84148016,Other air or gas compressors
8415908010,"Air-conditioning evaporator coils, of copper or copper alloys"
8415908020,"Air-conditioning evaporator coils, other"
8415908045,Parts of automative air-conditioning machines
8415908085,Parts of heat pumps for air-conditioning machines
