HTS,clean_hts,Heading,s301_rate
0307.29.01,03072901,9903.88.03,25.0
0307.31.00,03073100,9903.88.03,25.0
0307.32.00,03073200,9903.88.03,25.0
0307.39.01,03073901,9903.88.03,25.0
0307.42.00,03074200,9903.88.03,25.0
0307.43.00,03074300,9903.88.03,25.0
0307.49.01,03074901,9903.88.03,25.0
0307.51.00,03075100,9903.88.03,25.0
0307.52.00,03075200,9903.88.03,25.0
0307.59.01,03075901,9903.88.03,25.0
0307.60.00,03076000,9903.88.03,25.0
0307.71.00,03077100,9903.88.03,25.0
0307.72.00,03077200,9903.88.03,25.0
0307.79.01,03077901,9903.88.03,25.0
0307.81.00,03078100,9903.88.03,25.0
0307.82.00,03078200,9903.88.03,25.0
0307.83.00,03078300,9903.88.03,25.0
0307.84.00,03078400,9903.88.03,25.0
0307.87.00,03078700,9903.88.03,25.0
0307.88.00,03078800,9903.88.03,25.0
0307.91.03,03079103,9903.88.03,25.0
0307.92.01,03079201,9903.88.03,25.0
0307.99.03,03079903,9903.88.03,25.0
0308.11.00,03081100,9903.88.03,25.0
0308.12.00,03081200,9903.88.03,25.0
0308.19.01,03081901,9903.88.03,25.0
0308.21.00,03082100,9903.88.03,25.0
0308.22.00,03082200,9903.88.03,25.0
0308.29.01,03082901,9903.88.03,25.0
0308.30.00,03083000,9903.88.03,25.0
0308.90.01,03089001,9903.88.03,25.0
0309.10.05,03091005,9903.88.03,25.0
0309.10.90,03091090,9903.88.03,25.0
0309.90.10,03099010,9903.88.03,25.0
0309.90.20,03099020,9903.88.03,25.0
0309.90.30,03099030,9903.88.03,25.0
0309.90.40,03099040,9903.88.03,25.0
0309.90.50,03099050,9903.88.03,25.0
0309.90.60,03099060,9903.88.03,25.0
0309.90.90,03099090,9903.88.03,25.0
0401.10.00,04011000,9903.88.15,7.5
0401.20.20,04012020,9903.88.15,7.5
0401.20.40,04012040,9903.88.15,7.5
0401.40.02,04014002,9903.88.15,7.5
0401.40.05,04014005,9903.88.15,7.5
0401.40.25,04014025,9903.88.15,7.5
0401.50.02,04015002,9903.88.15,7.5
0401.50.05,04015005,9903.88.15,7.5
0401.50.25,04015025,9903.88.15,7.5
0401.50.42,04015042,9903.88.15,7.5
0401.50.50,04015050,9903.88.15,7.5
0401.50.75,04015075,9903.88.15,7.5
0402.10.05,04021005,9903.88.15,7.5
0402.10.10,04021010,9903.88.15,7.5
0402.10.50,04021050,9903.88.15,7.5
0402.21.02,04022102,9903.88.15,7.5
0402.21.05,04022105,9903.88.15,7.5
0402.21.25,04022125,9903.88.15,7.5
0402.21.27,04022127,9903.88.15,7.5
0402.21.30,04022130,9903.88.15,7.5
0402.21.50,04022150,9903.88.15,7.5
0402.21.73,04022173,9903.88.15,7.5
0402.21.75,04022175,9903.88.15,7.5
0402.21.90,04022190,9903.88.15,7.5
0402.29.05,04022905,9903.88.15,7.5
0402.29.10,04022910,9903.88.15,7.5
0402.29.50,04022950,9903.88.15,7.5
0402.91.03,04029103,9903.88.15,7.5
0402.91.06,04029106,9903.88.15,7.5
0402.91.10,04029110,9903.88.15,7.5
0402.91.30,04029130,9903.88.15,7.5
0402.91.70,04029170,9903.88.15,7.5
0402.91.90,04029190,9903.88.15,7.5
0402.99.03,04029903,9903.88.15,7.5
0402.99.06,04029906,9903.88.15,7.5
0402.99.10,04029910,9903.88.15,7.5
0402.99.30,04029930,9903.88.15,7.5
0402.99.45,04029945,9903.88.15,7.5
0402.99.55,04029955,9903.88.15,7.5
0402.99.68,04029968,9903.88.15,7.5
0402.99.70,04029970,9903.88.15,7.5
0402.99.90,04029990,9903.88.15,7.5
0403.20.05,04032005,9903.88.15,7.5
0403.20.10,04032010,9903.88.15,7.5
0403.20.50,04032050,9903.88.15,7.5
0403.20.90,04032090,9903.88.15,7.5
0403.90.02,04039002,9903.88.15,7.5
0403.90.04,04039004,9903.88.15,7.5
0403.90.16,04039016,9903.88.15,7.5
0403.90.20,04039020,9903.88.15,7.5
0403.90.37,04039037,9903.88.15,7.5
0403.90.41,04039041,9903.88.15,7.5
0403.90.45,04039045,9903.88.15,7.5
0403.90.47,04039047,9903.88.15,7.5
0403.90.51,04039051,9903.88.15,7.5
0403.90.55,04039055,9903.88.15,7.5
0403.90.57,04039057,9903.88.15,7.5
0403.90.61,04039061,9903.88.15,7.5
0403.90.65,04039065,9903.88.15,7.5
0403.90.72,04039072,9903.88.15,7.5
0403.90.74,04039074,9903.88.15,7.5
0403.90.78,04039078,9903.88.15,7.5
0403.90.85,04039085,9903.88.15,7.5
0403.90.87,04039087,9903.88.15,7.5
0403.90.90,04039090,9903.88.15,7.5
0403.90.95,04039095,9903.88.15,7.5
0404.10.05,04041005,9903.88.03,25.0
0404.10.08,04041008,9903.88.03,25.0
0404.10.11,04041011,9903.88.03,25.0
0404.10.15,04041015,9903.88.03,25.0
0404.10.20,04041020,9903.88.03,25.0
0404.10.48,04041048,9903.88.03,25.0
0404.10.50,04041050,9903.88.03,25.0
0404.10.90,04041090,9903.88.03,25.0
0404.90.10,04049010,9903.88.15,7.5
0404.90.28,04049028,9903.88.15,7.5
0404.90.30,04049030,9903.88.15,7.5
0404.90.50,04049050,9903.88.15,7.5
0404.90.70,04049070,9903.88.15,7.5
0405.10.05,04051005,9903.88.03,25.0
0405.10.10,04051010,9903.88.03,25.0
0405.10.20,04051020,9903.88.03,25.0
0405.20.10,04052010,9903.88.15,7.5
0405.20.20,04052020,9903.88.15,7.5
